PU   Project Updated
OA   Object Added
OD   Object Deleted
OU   Object Updated
SA   Stage Added
SD   Stage Deleted
SU   Stage Updated
DA   Discipline Added
DD   Discipline Deleted
DU   Discipline Updated
SUA   Status Added
SUD   Status Deleted
SUU   Status Updated
UA   User Added
UD   User Deleted
UU   User Updated
PS   Permission Set
MA   MetaData Added
MD   MetaData Deleted
MU   MetaData Updated
DEA   Derivation Added
DED   Derivation Deleted
DEU   Derivation Updated
VA   Version Added
VD   Version Deleted
VU   Version Updated
